"Year","GDP-US $ billion nominal","Population-US million","Debt (percent GDP)",""
"1900","20.567","76.212","19.60","i"
"1901","22.269","77.680","18.60","i"
"1902","24.062","79.176","17.73","a"
"1903","25.93","80.701","17.18","i"
"1904","25.681","82.255","18.20","i"
"1905","28.788","83.839","16.85","i"
"1906","31.037","85.453","16.41","i"
"1907","33.851","87.099","15.96","i"
"1908","30.133","88.776","19.17","i"
"1909","32.229","90.486","18.65","i"
"1910","33.423","92.229","18.73","i"
"1911","34.343","93.523","19.28","i"
"1912","37.384","94.836","18.71","i"
"1913","39.14","96.167","18.73","a"
"1914","36.479","97.516","21.25","i"
"1915","38.675","98.885","21.62","i"
"1916","49.638","100.273","18.98","i"
"1917","59.702","101.680","20.25","i"
"1918","75.835","103.107","28.46","i"
"1919","78.333","104.554","44.75","i"
"1920","88.393","106.022","38.87","i"
"1921","73.603","107.626","45.10","i"
"1922","73.432","109.254","45.04","a"
"1923","85.414","110.908","38.95","i"
"1924","86.947","112.586","38.01","i"
"1925","90.575","114.290","36.72","i"
"1926","96.949","116.019","34.46","i"
"1927","95.544","117.775","34.95","a"
"1928","97.365","119.557","34.16","i"
"1929","103.6","121.366","32.25","i"
"1930","91.2","123.203","36.76","i"
"1931","76.5","124.071","45.81","i"
"1932","58.7","124.945","65.91","a"
"1933","56.4","125.825","73.77","i"
"1934","66","126.712","69.67","a"
"1935","73.3","127.605","65.35","i"
"1936","83.8","128.504","63.55","a"
"1937","91.9","129.410","60.81","i"
"1938","86.1","130.321","65.74","a"
"1939","92.2","131.240","65.40","i"
"1940","101.4","132.165","70.00","a"
"1941","126.7","133.966","61.04","i"
"1942","161.9","135.792","60.86","a"
"1943","198.6","137.643","81.10","i"
"1944","219.8","139.519","100.80","a"
"1945","223","141.421","124.16","i"
"1946","222.2","143.349","129.17","a"
"1947","244.1","145.303","112.45","i"
"1948","269.1","147.283","100.59","a"
"1949","267.2","149.291","102.54","i"
"1950","293.7","151.326","95.66","a"
"1951","339.3","153.917","83.23","i"
"1952","358.3","156.552","80.71","a"
"1953","379.3","159.232","79.03","a"
"1954","380.4","161.958","81.43","a"
"1955","414.7","164.731","76.83","a"
"1956","437.4","167.551","73.52","a"
"1957","461.1","170.420","70.55","a"
"1958","467.2","173.337","72.31","a"
"1959","506.6","176.305","69.40","a"
"1960","526.4","179.323","68.48","a"
"1961","544.8","181.588","67.49","a"
"1962","585.7","183.881","65.52","a"
"1963","617.8","186.204","64.00","a"
"1964","663.6","188.555","61.53","a"
"1965","719.1","190.937","58.66","a"
"1966","787.7","193.348","55.29","a"
"1967","832.4","195.790","54.55","a"
"1968","909.8","198.263","53.84","a"
"1969","984.4","200.766","50.72","a"
"1970","1038.3","203.302","50.51","a"
"1971","1126.8","205.515","50.34","a"
"1972","1237.9","207.752","49.27","a"
"1973","1382.3","210.013","47.33","a"
"1974","1499.5","212.299","46.01","a"
"1975","1637.7","214.609","46.52","a"
"1976","1824.6","216.945","47.68","a"
"1977","2030.1","219.307","47.55","a"
"1978","2293.8","221.694","46.11","a"
"1979","2562.2","224.107","44.24","a"
"1980","2788.1","226.546","44.66","a"
"1981","3126.8","228.670","43.46","a"
"1982","3253.2","230.815","47.38","a"
"1983","3534.6","232.979","51.65","a"
"1984","3930.9","235.164","52.65","a"
"1985","4217.5","237.369","56.58","a"
"1986","4460.1","239.595","62.32","a"
"1987","4736.4","241.842","64.70","a"
"1988","5100.4","244.110","65.80","a"
"1989","5482.1","246.399","66.89","i"
"1990","5800.5","248.710","70.10","a"
"1991","5992.1","251.802","75.34","a"
"1992","6342.3","254.933","78.48","a"
"1993","6667.4","258.103","80.52","a"
"1994","7085.2","261.312","80.70","a"
"1995","7414.7","264.561","81.41","a"
"1996","7838.5","267.850","81.03","a"
"1997","8332.4","271.180","79.10","a"
"1998","8793.5","274.552","76.89","a"
"1999","9353.5","277.966","74.57","a"
"2000","9951.5","282.172","71.15","a"
"2001","10286.2","285.082","71.17","i"
"2002","10642.3","287.804","74.04","a"
"2003","11142.2","290.326","76.99","i"
"2004","11853.3","293.046","78.72","a"
"2005","12623","295.507","79.14","a"
"2006","13377.2","298.109","79.65","a"
"2007","14028.7","300.733","80.94","a"
"2008","14291.5","303.380","87.82","a"
"2009","13973.7","306.051","104.47","a"
"2010","14498.9","308.746","112.91","a"
"2011","15075.7","311.592","117.22","a"
"2012","15684.8","314.123","121.13","g"
"2013","16202.7","316.847","124.84","g"
"2014","17011.4","319.594","125.16","g"